GEOID10,POP_2010,POP_WHITE,POP_BLACK,POP_NATV,POP_ASN,POP_ISLND,POP_OTHER,POP_MULTI,NOT_HISP,NH_WHITE,NH_BLACK,NH_NATV,NH_ASN,NH_ISLND,NH_OTHER,NH_MULTI,HISP,H_WHITE,H_BLACK,H_NATV,H_ASN,H_ISLND,H_OTHER,H_MULTI
250173321002,2269,1973,27,3,237,0,4,25,2259,1967,27,3,237,0,1,24,10,6,0,0,0,0,3,1
250173321003,1223,1065,19,0,111,0,7,21,1199,1047,19,0,111,0,1,21,24,18,0,0,0,0,6,0
250173321004,1204,999,15,1,161,0,3,25,1175,976,15,0,161,0,1,22,29,23,0,1,0,0,2,3
250173322001,3034,1857,305,12,707,1,83,69,2886,1778,300,10,705,1,35,57,148,79,5,2,2,0,48,12
250173322002,2576,2147,33,8,333,0,8,47,2513,2096,33,6,333,0,2,43,63,51,0,2,0,0,6,4
250173322003,676,616,9,0,43,0,0,8,665,607,9,0,43,0,0,6,11,9,0,0,0,0,0,2
250173322004,2090,1763,29,2,232,5,27,32,2017,1713,29,2,229,4,9,31,73,50,0,0,3,1,18,1
250173323001,1222,1052,26,1,127,0,4,12,1202,1032,26,1,127,0,4,12,20,20,0,0,0,0,0,0
250173323002,992,857,6,1,115,0,0,13,988,854,6,1,115,0,0,12,4,3,0,0,0,0,0,1
250173323003,1054,965,8,1,75,0,2,3,1041,954,8,1,75,0,0,3,13,11,0,0,0,0,2,0
250173323004,2054,1221,211,3,531,0,44,44,1994,1189,210,3,531,0,19,42,60,32,1,0,0,0,25,2
250173323005,1355,1228,8,1,108,0,0,10,1347,1221,8,1,108,0,0,9,8,7,0,0,0,0,0,1
250173324001,1959,1723,32,5,170,0,6,23,1913,1688,27,4,170,0,6,18,46,35,5,1,0,0,0,5
250173324002,1514,1223,55,1,180,0,16,39,1465,1194,52,0,180,0,5,34,49,29,3,1,0,0,11,5
250173331001,2266,1724,186,1,284,0,38,33,2183,1667,185,0,284,0,18,29,83,57,1,1,0,0,20,4
250173331002,1015,926,7,1,75,0,0,6,1008,919,7,1,75,0,0,6,7,7,0,0,0,0,0,0
250173331003,1146,992,53,0,80,0,11,10,1118,980,50,0,80,0,3,5,28,12,3,0,0,0,8,5
250173331004,909,860,5,0,20,0,16,8,883,841,5,0,19,0,11,7,26,19,0,0,1,0,5,1
250173331005,2063,1921,13,3,87,0,17,22,2030,1899,13,3,87,0,6,22,33,22,0,0,0,0,11,0
250173332001,1514,1410,32,2,46,0,13,11,1480,1382,32,2,46,0,7,11,34,28,0,0,0,0,6,0
250173332002,1001,910,25,4,46,0,7,9,980,894,23,4,46,0,5,8,21,16,2,0,0,0,2,1
250173332003,1172,1021,42,0,42,0,30,37,1116,996,42,0,42,0,7,29,56,25,0,0,0,0,23,8
250173332004,1677,1437,85,2,120,1,15,17,1626,1413,81,1,120,1,2,8,51,24,4,1,0,0,13,9
250173333001,1153,908,76,3,68,0,74,24,1048,867,75,3,67,0,17,19,105,41,1,0,1,0,57,5
250173333002,1374,1146,83,2,54,0,53,36,1262,1075,81,2,54,0,25,25,112,71,2,0,0,0,28,11
250173333003,1536,1356,62,3,33,0,41,41,1454,1318,60,2,33,0,14,27,82,38,2,1,0,0,27,14
250173334001,1716,1214,99,4,253,0,80,66,1607,1160,96,4,253,0,46,48,109,54,3,0,0,0,34,18
250173334002,1230,1114,28,1,51,0,13,23,1204,1095,28,1,51,0,8,21,26,19,0,0,0,0,5,2
250173334003,868,808,21,0,27,0,5,7,832,776,20,0,27,0,2,7,36,32,1,0,0,0,3,0
250173334004,1387,1088,118,3,89,0,56,33,1242,1018,111,0,88,0,9,16,145,70,7,3,1,0,47,17
250173334005,1028,944,26,0,25,0,10,23,992,928,24,0,25,0,0,15,36,16,2,0,0,0,10,8
250173335011,744,644,25,0,40,0,30,5,707,623,20,0,40,0,19,5,37,21,5,0,0,0,11,0
250173335012,2171,1981,53,9,74,0,28,26,2102,1945,53,4,74,0,8,18,69,36,0,5,0,0,20,8
250173335013,2086,1848,92,3,77,0,34,32,1981,1773,92,3,77,0,4,32,105,75,0,0,0,0,30,0
250173335021,1633,1309,67,2,97,0,84,74,1492,1237,62,2,96,0,34,61,141,72,5,0,1,0,50,13
250173335022,1640,1417,62,2,58,1,55,45,1538,1370,58,2,58,1,14,35,102,47,4,0,0,0,41,10
250173336001,1976,975,169,11,702,0,50,69,1901,939,160,8,702,0,32,60,75,36,9,3,0,0,18,9
250173336002,861,792,2,0,53,0,7,7,836,771,0,0,53,0,5,7,25,21,2,0,0,0,2,0
250173336003,615,556,4,0,38,0,9,8,599,547,4,0,38,0,2,8,16,9,0,0,0,0,7,0
250173336004,1010,864,44,1,61,0,18,22,983,851,43,0,60,0,13,16,27,13,1,1,1,0,5,6
250173336005,985,888,36,0,33,0,13,15,937,855,35,0,33,0,3,11,48,33,1,0,0,0,10,4
250173336006,1344,1054,77,4,142,0,29,38,1255,991,77,4,142,0,11,30,89,63,0,0,0,0,18,8
250173341001,1723,1619,13,3,67,0,6,15,1698,1601,13,0,67,0,2,15,25,18,0,3,0,0,4,0
250173341002,2069,2007,4,2,31,3,1,21,2048,1989,4,0,31,3,0,21,21,18,0,2,0,0,1,0
250173341003,2926,2561,78,4,212,0,30,41,2846,2514,73,4,211,0,11,33,80,47,5,0,1,0,19,8
250173342001,981,947,4,1,22,0,4,3,972,941,4,0,22,0,2,3,9,6,0,1,0,0,2,0
250173342002,905,847,3,2,24,0,7,22,879,836,3,0,24,0,0,16,26,11,0,2,0,0,7,6
250173342003,976,914,9,0,42,0,6,5,962,904,9,0,42,0,2,5,14,10,0,0,0,0,4,0
250173342004,1106,1062,3,1,20,0,1,19,1085,1045,3,1,20,0,1,15,21,17,0,0,0,0,0,4
250173343001,1847,1796,9,0,24,0,7,11,1827,1782,9,0,24,0,2,10,20,14,0,0,0,0,5,1
250173343002,1058,1024,1,0,31,0,0,2,1043,1009,1,0,31,0,0,2,15,15,0,0,0,0,0,0
250173343003,1935,1810,14,0,79,0,6,26,1909,1796,14,0,78,0,0,21,26,14,0,0,1,0,6,5
250173343004,2765,2660,3,1,79,0,3,19,2736,2633,3,1,79,0,1,19,29,27,0,0,0,0,2,0
250173344001,1232,1168,4,0,43,0,1,16,1225,1163,4,0,43,0,0,15,7,5,0,0,0,0,1,1
250173344002,1769,1646,9,3,87,3,1,20,1742,1627,9,3,87,3,0,13,27,19,0,0,0,0,1,7
250173344003,1456,1226,14,0,187,0,9,20,1423,1199,14,0,187,0,4,19,33,27,0,0,0,0,5,1
250173344004,598,559,1,0,15,0,4,19,588,553,1,0,15,0,1,18,10,6,0,0,0,0,3,1
250173344005,1401,1295,19,1,68,0,5,13,1386,1285,19,1,68,0,0,13,15,10,0,0,0,0,5,0
250173351001,1222,1195,5,0,14,0,4,4,1212,1188,4,0,14,0,2,4,10,7,1,0,0,0,2,0
250173351002,977,934,4,0,26,0,3,10,964,925,2,0,26,0,1,10,13,9,2,0,0,0,2,0
250173351003,545,494,17,4,20,0,3,7,522,475,17,4,20,0,0,6,23,19,0,0,0,0,3,1
